hidden_size,num_layers,dropout_rate,learning_rate,batch_size,train_acc,val_acc,test_acc,time
64,2,0.01,0.01,32,0.50078125,0.5,0.5,6.06901216506958
64,2,0.01,0.01,64,0.487890625,0.5,0.5,3.7081379890441895
64,2,0.01,0.01,128,0.55390625,0.521875,0.54625,1.8844590187072754
64,2,0.01,0.001,32,0.97890625,0.9671875,0.975,24.41264820098877
64,2,0.01,0.001,64,0.943359375,0.93125,0.94375,12.552762269973755
64,2,0.01,0.001,128,0.91171875,0.9046875,0.89,8.465415716171265
64,2,0.01,0.0001,32,0.794140625,0.778125,0.7825,24.368675470352173
64,2,0.01,0.0001,64,0.76015625,0.759375,0.7375,13.491175889968872
64,2,0.01,0.0001,128,0.74453125,0.696875,0.69625,9.445491790771484
64,2,0.01,0.0005,32,0.85078125,0.846875,0.835,24.265032052993774
64,2,0.01,0.0005,64,0.917578125,0.9171875,0.90625,12.0462064743042
64,2,0.01,0.0005,128,0.846875,0.8453125,0.845,9.669802904129028
64,2,0.05,0.01,32,0.506640625,0.5,0.5,6.143151521682739
64,2,0.05,0.01,64,0.496484375,0.509375,0.4925,2.754800796508789
64,2,0.05,0.01,128,0.803515625,0.6546875,0.65625,9.364246368408203
64,2,0.05,0.001,32,0.95859375,0.9671875,0.9525,24.4477436542511
64,2,0.05,0.001,64,0.883203125,0.8796875,0.89,13.932284116744995
64,2,0.05,0.001,128,0.808203125,0.8046875,0.8,9.590829610824585
64,2,0.05,0.0001,32,0.77734375,0.775,0.7575,23.21653699874878
64,2,0.05,0.0001,64,0.787109375,0.7828125,0.7875,11.38557481765747
64,2,0.05,0.0001,128,0.588671875,0.5953125,0.61,6.8946287631988525
64,2,0.05,0.0005,32,0.8625,0.85625,0.8725,22.996349811553955
64,2,0.05,0.0005,64,0.866015625,0.8390625,0.83625,14.097984790802002
64,2,0.05,0.0005,128,0.805859375,0.7953125,0.79125,9.679846286773682
64,2,0.1,0.01,32,0.517578125,0.5,0.51125,5.112188339233398
64,2,0.1,0.01,64,0.5,0.5,0.5,3.134500503540039
64,2,0.1,0.01,128,0.5859375,0.5828125,0.59125,5.82947564125061
64,2,0.1,0.001,32,0.8609375,0.8875,0.89875,24.257712364196777
64,2,0.1,0.001,64,0.7328125,0.7546875,0.7725,11.078979969024658
64,2,0.1,0.001,128,0.835546875,0.840625,0.82375,9.970585584640503
64,2,0.1,0.0001,32,0.75859375,0.740625,0.72875,19.93152379989624
64,2,0.1,0.0001,64,0.649609375,0.640625,0.605,14.23804259300232
64,2,0.1,0.0001,128,0.53203125,0.5078125,0.52125,4.151660203933716
64,2,0.1,0.0005,32,0.876953125,0.9109375,0.91125,25.077783823013306
64,2,0.1,0.0005,64,0.910546875,0.921875,0.93875,12.330506324768066
64,2,0.1,0.0005,128,0.7203125,0.775,0.77,10.269588947296143
64,2,0.2,0.01,32,0.511328125,0.5,0.5,5.223566770553589
64,2,0.2,0.01,64,0.5453125,0.5375,0.54625,8.527495622634888
64,2,0.2,0.01,128,0.5234375,0.509375,0.5425,3.054457426071167
64,2,0.2,0.001,32,0.859375,0.8484375,0.85875,25.784080028533936
64,2,0.2,0.001,64,0.940234375,0.9515625,0.9475,13.369877338409424
64,2,0.2,0.001,128,0.866015625,0.878125,0.87375,9.904731750488281
64,2,0.2,0.0001,32,0.608203125,0.6078125,0.60375,17.150754690170288
64,2,0.2,0.0001,64,0.7125,0.70625,0.70125,13.722447156906128
64,2,0.2,0.0001,128,0.517578125,0.5,0.5,2.1709959506988525
64,2,0.2,0.0005,32,0.9234375,0.909375,0.9075,24.15776753425598
64,2,0.2,0.0005,64,0.882421875,0.878125,0.88,13.827733993530273
64,2,0.2,0.0005,128,0.696875,0.7390625,0.7175,10.293379545211792
64,2,0.3,0.01,32,0.4984375,0.5,0.5,5.774521112442017
64,2,0.3,0.01,64,0.5,0.5,0.5,3.687310218811035
64,2,0.3,0.01,128,0.89140625,0.9140625,0.90125,10.2363920211792
64,2,0.3,0.001,32,0.965234375,0.9515625,0.93875,26.24473214149475
64,2,0.3,0.001,64,0.839453125,0.8671875,0.85,13.43938660621643
64,2,0.3,0.001,128,0.86328125,0.8765625,0.865,10.318690299987793
64,2,0.3,0.0001,32,0.578515625,0.5515625,0.57375,11.633234024047852
64,2,0.3,0.0001,64,0.619140625,0.6171875,0.615,12.007838487625122
64,2,0.3,0.0001,128,0.54140625,0.5421875,0.54,3.622663736343384
64,2,0.3,0.0005,32,0.869140625,0.8796875,0.87625,26.525258541107178
64,2,0.3,0.0005,64,0.890625,0.903125,0.8875,13.40991759300232
64,2,0.3,0.0005,128,0.7546875,0.7234375,0.74375,10.21183466911316
64,3,0.01,0.01,32,0.4953125,0.5,0.5,5.718994140625
64,3,0.01,0.01,64,0.481640625,0.5,0.5,4.0945351123809814
64,3,0.01,0.01,128,0.49296875,0.5,0.5,4.795902729034424
64,3,0.01,0.001,32,0.896484375,0.8859375,0.89125,29.03695249557495
64,3,0.01,0.001,64,0.759765625,0.740625,0.72,12.271663427352905
64,3,0.01,0.001,128,0.85,0.85,0.8425,18.03755259513855
64,3,0.01,0.0001,32,0.76953125,0.7609375,0.7725,28.733365297317505
64,3,0.01,0.0001,64,0.66875,0.6671875,0.6375,17.94835877418518
64,3,0.01,0.0001,128,0.5,0.5,0.5,4.107536554336548
64,3,0.01,0.0005,32,0.906640625,0.928125,0.9125,29.139874696731567
64,3,0.01,0.0005,64,0.818359375,0.815625,0.81875,19.340306520462036
64,3,0.01,0.0005,128,0.8203125,0.8328125,0.8175,17.841758489608765
64,3,0.05,0.01,32,0.493359375,0.5,0.5,6.950247049331665
64,3,0.05,0.01,64,0.547265625,0.53125,0.5375,14.40098261833191
64,3,0.05,0.01,128,0.503515625,0.5109375,0.51125,4.676746606826782
64,3,0.05,0.001,32,0.55859375,0.559375,0.53,7.461054086685181
64,3,0.05,0.001,64,0.906640625,0.909375,0.91,19.148625373840332
64,3,0.05,0.001,128,0.8484375,0.8265625,0.84,18.559264421463013
64,3,0.05,0.0001,32,0.670703125,0.6703125,0.66125,28.558993339538574
64,3,0.05,0.0001,64,0.81640625,0.8265625,0.835,18.386770248413086
64,3,0.05,0.0001,128,0.615234375,0.6328125,0.605,11.379847288131714
64,3,0.05,0.0005,32,0.8625,0.8484375,0.87375,30.975611686706543
64,3,0.05,0.0005,64,0.858203125,0.8703125,0.875,18.343160390853882
64,3,0.05,0.0005,128,0.784765625,0.7984375,0.76625,18.54940700531006
64,3,0.1,0.01,32,0.51328125,0.496875,0.515,10.480803966522217
64,3,0.1,0.01,64,0.5,0.5,0.5,3.803818941116333
64,3,0.1,0.01,128,0.491796875,0.5,0.5,4.866520881652832
64,3,0.1,0.001,32,0.91796875,0.9234375,0.9075,29.04809069633484
64,3,0.1,0.001,64,0.972265625,0.9625,0.9675,18.737074851989746
64,3,0.1,0.001,128,0.87890625,0.878125,0.87125,18.96440601348877
64,3,0.1,0.0001,32,0.713671875,0.7,0.7,30.135314226150513
64,3,0.1,0.0001,64,0.687109375,0.690625,0.66875,18.19576144218445
64,3,0.1,0.0001,128,0.587109375,0.575,0.5675,13.365224838256836
64,3,0.1,0.0005,32,0.864453125,0.8984375,0.88375,29.10596251487732
64,3,0.1,0.0005,64,0.920703125,0.921875,0.895,18.549095392227173
64,3,0.1,0.0005,128,0.66484375,0.6625,0.65125,18.933689832687378
64,3,0.2,0.01,32,0.4859375,0.5,0.5,7.1382341384887695
64,3,0.2,0.01,64,0.50390625,0.5,0.5,4.291651964187622
64,3,0.2,0.01,128,0.493359375,0.5,0.5,4.274266958236694
64,3,0.2,0.001,32,0.928515625,0.9265625,0.91875,28.82951307296753
64,3,0.2,0.001,64,0.90859375,0.884375,0.90875,18.596137762069702
64,3,0.2,0.001,128,0.853515625,0.8171875,0.81125,20.944665670394897
64,3,0.2,0.0001,32,0.80546875,0.796875,0.79625,28.320440769195557
64,3,0.2,0.0001,64,0.638671875,0.68125,0.64125,18.625450134277344
64,3,0.2,0.0001,128,0.558984375,0.5453125,0.55625,8.825945615768433
64,3,0.2,0.0005,32,0.897265625,0.8859375,0.88125,28.26105761528015
64,3,0.2,0.0005,64,0.869140625,0.8578125,0.86875,18.81955862045288
64,3,0.2,0.0005,128,0.841796875,0.8484375,0.8475,18.822967052459717
64,3,0.3,0.01,32,0.498046875,0.5,0.5,5.938977003097534
64,3,0.3,0.01,64,0.519140625,0.503125,0.52625,4.514516115188599
64,3,0.3,0.01,128,0.513671875,0.4953125,0.515,8.183488130569458
64,3,0.3,0.001,32,0.939453125,0.953125,0.92875,28.238022089004517
64,3,0.3,0.001,64,0.90078125,0.8828125,0.90125,19.342402696609497
64,3,0.3,0.001,128,0.877734375,0.8625,0.8925,19.030060529708862
64,3,0.3,0.0001,32,0.636328125,0.6359375,0.61,27.009894371032715
64,3,0.3,0.0001,64,0.510546875,0.5,0.5,4.061683177947998
64,3,0.3,0.0001,128,0.4953125,0.5,0.5,3.929276943206787
64,3,0.3,0.0005,32,0.909765625,0.928125,0.92,29.594651699066162
64,3,0.3,0.0005,64,0.909765625,0.9203125,0.925,18.996949195861816
64,3,0.3,0.0005,128,0.684375,0.69375,0.70375,19.765136003494263
64,4,0.01,0.01,32,0.4921875,0.5,0.5,10.633733749389648
64,4,0.01,0.01,64,0.480859375,0.5,0.5,5.299699783325195
64,4,0.01,0.01,128,0.51484375,0.509375,0.5175,11.44069504737854
64,4,0.01,0.001,32,0.502734375,0.496875,0.51,8.067242622375488
64,4,0.01,0.001,64,0.883203125,0.853125,0.8525,26.802252531051636
64,4,0.01,0.001,128,0.77890625,0.8,0.775,27.42327618598938
64,4,0.01,0.0001,32,0.83359375,0.821875,0.8375,33.697746992111206
64,4,0.01,0.0001,64,0.712890625,0.7171875,0.72375,22.834832668304443
64,4,0.01,0.0001,128,0.621875,0.603125,0.6025,12.349796533584595
64,4,0.01,0.0005,32,0.858984375,0.875,0.8575,33.857677698135376
64,4,0.01,0.0005,64,0.8390625,0.8390625,0.8475,24.96446418762207
64,4,0.01,0.0005,128,0.76640625,0.771875,0.77625,26.498281240463257
64,4,0.05,0.01,32,0.489453125,0.5,0.5,7.082207918167114
64,4,0.05,0.01,64,0.5,0.5,0.5,5.303528785705566
64,4,0.05,0.01,128,0.5,0.5,0.5,7.490666627883911
64,4,0.05,0.001,32,0.493359375,0.5,0.5,10.114951372146606
64,4,0.05,0.001,64,0.836328125,0.8328125,0.86125,25.767245292663574
64,4,0.05,0.001,128,0.566015625,0.5734375,0.5525,13.388514280319214
64,4,0.05,0.0001,32,0.77734375,0.7640625,0.78125,33.48293113708496
64,4,0.05,0.0001,64,0.795703125,0.8234375,0.84,26.23854351043701
64,4,0.05,0.0001,128,0.57890625,0.5515625,0.5675,12.615224599838257
64,4,0.05,0.0005,32,0.886328125,0.88125,0.905,33.116089820861816
64,4,0.05,0.0005,64,0.7625,0.83125,0.845,27.880852222442627
64,4,0.05,0.0005,128,0.7359375,0.709375,0.73375,19.0285062789917
64,4,0.1,0.01,32,0.5,0.5,0.5,7.889407634735107
64,4,0.1,0.01,64,0.50859375,0.5,0.5,5.660856008529663
64,4,0.1,0.01,128,0.5,0.5,0.5,6.531437158584595
64,4,0.1,0.001,32,0.91328125,0.8890625,0.88875,34.66899013519287
64,4,0.1,0.001,64,0.57265625,0.5640625,0.55125,7.681249141693115
64,4,0.1,0.001,128,0.91875,0.9015625,0.91375,26.03558897972107
64,4,0.1,0.0001,32,0.691796875,0.6890625,0.6825,27.36119318008423
64,4,0.1,0.0001,64,0.6796875,0.6984375,0.66625,18.559840202331543
64,4,0.1,0.0001,128,0.640234375,0.621875,0.62875,15.174805402755737
64,4,0.1,0.0005,32,0.9171875,0.9,0.90125,34.493064403533936
64,4,0.1,0.0005,64,0.854296875,0.8265625,0.85375,20.326846599578857
64,4,0.1,0.0005,128,0.628125,0.6078125,0.62875,14.385907411575317
64,4,0.2,0.01,32,0.495703125,0.5,0.5,7.765985488891602
64,4,0.2,0.01,64,0.498828125,0.5,0.5,5.568331241607666
64,4,0.2,0.01,128,0.504296875,0.5,0.5,10.333963632583618
64,4,0.2,0.001,32,0.97109375,0.971875,0.95875,33.56491422653198
64,4,0.2,0.001,64,0.94609375,0.928125,0.9475,25.75324010848999
64,4,0.2,0.001,128,0.89765625,0.8828125,0.88875,26.755768299102783
64,4,0.2,0.0001,32,0.74375,0.75625,0.735,33.31332302093506
64,4,0.2,0.0001,64,0.782421875,0.7828125,0.77875,27.405784606933594
64,4,0.2,0.0001,128,0.504296875,0.5,0.5,5.92723536491394
64,4,0.2,0.0005,32,0.884375,0.86875,0.87875,31.949750661849976
64,4,0.2,0.0005,64,0.819140625,0.809375,0.84,27.269570350646973
64,4,0.2,0.0005,128,0.849609375,0.8515625,0.85125,27.457454681396484
64,4,0.3,0.01,32,0.49453125,0.5,0.5,7.6443703174591064
64,4,0.3,0.01,64,0.508984375,0.5078125,0.5075,8.262791872024536
64,4,0.3,0.01,128,0.494140625,0.5,0.5,6.307786464691162
64,4,0.3,0.001,32,0.888671875,0.89375,0.89375,32.77301263809204
64,4,0.3,0.001,64,0.9375,0.93125,0.92625,26.46146821975708
64,4,0.3,0.001,128,0.730859375,0.7265625,0.70875,25.536261796951294
64,4,0.3,0.0001,32,0.840625,0.8296875,0.83625,33.93388366699219
64,4,0.3,0.0001,64,0.503515625,0.4984375,0.525,5.5799171924591064
64,4,0.3,0.0001,128,0.5078125,0.5,0.5,5.910764217376709
64,4,0.3,0.0005,32,0.787890625,0.7765625,0.785,33.757244348526
64,4,0.3,0.0005,64,0.92265625,0.9078125,0.9225,26.90879797935486
64,4,0.3,0.0005,128,0.89296875,0.903125,0.875,26.362212419509888
128,2,0.01,0.01,32,0.489453125,0.5,0.5,10.232765913009644
128,2,0.01,0.01,64,0.494921875,0.5,0.5,10.614381074905396
128,2,0.01,0.01,128,0.493359375,0.5078125,0.50875,12.701798677444458
128,2,0.01,0.001,32,0.95546875,0.94375,0.95375,47.27971053123474
128,2,0.01,0.001,64,0.85234375,0.8453125,0.8475,46.55080199241638
128,2,0.01,0.001,128,0.862890625,0.840625,0.85125,46.32200074195862
128,2,0.01,0.0001,32,0.80390625,0.7953125,0.775,48.620938777923584
128,2,0.01,0.0001,64,0.820703125,0.7890625,0.77875,47.71352291107178
128,2,0.01,0.0001,128,0.7265625,0.70625,0.74125,45.48703908920288
128,2,0.01,0.0005,32,0.89296875,0.88125,0.87125,47.86157727241516
128,2,0.01,0.0005,64,0.903125,0.8984375,0.89,48.14106726646423
128,2,0.01,0.0005,128,0.8453125,0.8203125,0.81625,46.92700433731079
128,2,0.05,0.01,32,0.48359375,0.5,0.5,10.47191047668457
128,2,0.05,0.01,64,0.49453125,0.5,0.5,10.455088138580322
128,2,0.05,0.01,128,0.5,0.5,0.5,10.152657508850098
128,2,0.05,0.001,32,0.496484375,0.5,0.5,11.803505182266235
128,2,0.05,0.001,64,0.931640625,0.9140625,0.9025,46.7487051486969
128,2,0.05,0.001,128,0.727734375,0.7578125,0.72375,43.01681995391846
128,2,0.05,0.0001,32,0.790234375,0.79375,0.78125,49.03150987625122
128,2,0.05,0.0001,64,0.79609375,0.778125,0.77375,48.718238830566406
128,2,0.05,0.0001,128,0.64375,0.63125,0.61875,33.5464723110199
128,2,0.05,0.0005,32,0.744921875,0.728125,0.7275,28.422154426574707
128,2,0.05,0.0005,64,0.895703125,0.9,0.90375,46.76608157157898
128,2,0.05,0.0005,128,0.893359375,0.8953125,0.89125,46.36140990257263
128,2,0.1,0.01,32,0.50234375,0.5,0.5,11.485982179641724
128,2,0.1,0.01,64,0.484765625,0.5,0.5,9.862302780151367
128,2,0.1,0.01,128,0.483203125,0.5,0.5,14.533803701400757
128,2,0.1,0.001,32,0.502734375,0.5,0.5,15.482296705245972
128,2,0.1,0.001,64,0.87578125,0.8671875,0.875,48.33006310462952
128,2,0.1,0.001,128,0.7375,0.7765625,0.7675,41.89861083030701
128,2,0.1,0.0001,32,0.641015625,0.684375,0.6625,45.338799715042114
128,2,0.1,0.0001,64,0.70546875,0.7125,0.72375,49.0677707195282
128,2,0.1,0.0001,128,0.660546875,0.659375,0.65375,30.56890630722046
128,2,0.1,0.0005,32,0.92265625,0.9046875,0.9125,47.487428426742554
128,2,0.1,0.0005,64,0.884765625,0.8953125,0.90125,47.98890447616577
128,2,0.1,0.0005,128,0.862109375,0.878125,0.8975,47.61142826080322
128,2,0.2,0.01,32,0.487109375,0.5,0.5,10.829087972640991
128,2,0.2,0.01,64,0.48125,0.5,0.5,11.40330958366394
128,2,0.2,0.01,128,0.4984375,0.5,0.5,11.450292110443115
128,2,0.2,0.001,32,0.907421875,0.9203125,0.92125,49.37069129943848
128,2,0.2,0.001,64,0.905859375,0.8921875,0.88375,48.33425784111023
128,2,0.2,0.001,128,0.916796875,0.9140625,0.92375,47.563835859298706
128,2,0.2,0.0001,32,0.70546875,0.69375,0.705,49.82136631011963
128,2,0.2,0.0001,64,0.755078125,0.778125,0.7425,49.31126856803894
128,2,0.2,0.0001,128,0.614453125,0.6515625,0.6275,43.3548583984375
128,2,0.2,0.0005,32,0.91015625,0.915625,0.8975,49.581947565078735
128,2,0.2,0.0005,64,0.76796875,0.79375,0.75875,36.434741258621216
128,2,0.2,0.0005,128,0.894921875,0.8984375,0.8975,47.585084676742554
128,2,0.3,0.01,32,0.487890625,0.5,0.5,10.574805736541748
128,2,0.3,0.01,64,0.51953125,0.5109375,0.53125,13.042618989944458
128,2,0.3,0.01,128,0.5,0.5,0.5,10.045036315917969
128,2,0.3,0.001,32,0.89296875,0.925,0.94875,50.61989140510559
128,2,0.3,0.001,64,0.946875,0.934375,0.935,48.15723729133606
128,2,0.3,0.001,128,0.758203125,0.753125,0.79625,21.363658666610718
128,2,0.3,0.0001,32,0.6921875,0.6875,0.6925,49.462279081344604
128,2,0.3,0.0001,64,0.71875,0.753125,0.76,49.56158804893494
128,2,0.3,0.0001,128,0.62265625,0.64375,0.62125,43.95555114746094
128,2,0.3,0.0005,32,0.9203125,0.921875,0.91875,52.062418937683105
128,2,0.3,0.0005,64,0.891015625,0.88125,0.8925,47.659459352493286
128,2,0.3,0.0005,128,0.883203125,0.903125,0.895,48.63493466377258
128,3,0.01,0.01,32,0.4859375,0.5,0.5,16.881612062454224
128,3,0.01,0.01,64,0.491015625,0.5,0.5,18.049930334091187
128,3,0.01,0.01,128,0.51015625,0.50625,0.50875,19.071840047836304
128,3,0.01,0.001,32,0.501171875,0.5015625,0.5,19.938721656799316
128,3,0.01,0.001,64,0.754296875,0.7109375,0.735,75.09421229362488
128,3,0.01,0.001,128,0.82265625,0.8015625,0.80875,75.39016532897949
128,3,0.01,0.0001,32,0.8265625,0.8203125,0.7875,77.72869777679443
128,3,0.01,0.0001,64,0.7078125,0.6703125,0.66875,56.8636519908905
128,3,0.01,0.0001,128,0.794921875,0.775,0.7925,72.94889807701111
128,3,0.01,0.0005,32,0.948046875,0.925,0.9275,80.33110284805298
128,3,0.01,0.0005,64,0.919921875,0.9109375,0.91875,81.65791034698486
128,3,0.01,0.0005,128,0.86796875,0.853125,0.87,72.96542501449585
128,3,0.05,0.01,32,0.5,0.5,0.5,15.741581678390503
128,3,0.05,0.01,64,0.501171875,0.5,0.5,16.84281277656555
128,3,0.05,0.01,128,0.5,0.5,0.5,15.675585508346558
128,3,0.05,0.001,32,0.924609375,0.95,0.935,79.08355522155762
128,3,0.05,0.001,64,0.86796875,0.8609375,0.86375,78.9145359992981
128,3,0.05,0.001,128,0.810546875,0.8109375,0.82375,72.18526363372803
128,3,0.05,0.0001,32,0.82578125,0.8296875,0.83875,78.62244153022766
128,3,0.05,0.0001,64,0.6625,0.6640625,0.655,70.47431111335754
128,3,0.05,0.0001,128,0.657421875,0.60625,0.6175,62.61841678619385
128,3,0.05,0.0005,32,0.906640625,0.93125,0.93375,79.35193252563477
128,3,0.05,0.0005,64,0.82734375,0.7984375,0.83,78.72638368606567
128,3,0.05,0.0005,128,0.859765625,0.85625,0.875,73.83844256401062
128,3,0.1,0.01,32,0.497265625,0.5,0.5,16.729019165039062
128,3,0.1,0.01,64,0.79296875,0.821875,0.855,78.36249279975891
128,3,0.1,0.01,128,0.4984375,0.5,0.5,16.512711763381958
128,3,0.1,0.001,32,0.8828125,0.9,0.93375,77.99601602554321
128,3,0.1,0.001,64,0.76015625,0.771875,0.7675,70.06995844841003
